orth	phon
pais	ˈpajs
país	pa.ˈis
vela	ˈvɛ.lɐ
bela	ˈbɛ.lɐ
ele	ˈe.lɪ
ele (L)	ˈɛ.lɪ
som	ˈsõ
são	ˈsɐ̃w
sábia	ˈsa.bi.ɐ
sabia	sa.ˈbi.ɐ
sabiá	sa.bi.ˈa
zelo	ˈze.lʊ
gelo	ˈʒe.lʊ
cara	ˈka.ɾɐ
cala	ˈka.lɐ
meu	ˈmew
mel	ˈmɛw
sou	ˈsow
sol	ˈsɔw
bolo	ˈbo.lʊ
bola	ˈbɔ.lɐ
líquido	ˈli.ki.dʊ
liquido	li.ˈki.dʊ
liqüido	li.ˈkʷi.dʊ
pato	ˈpa.tʊ
topa	ˈtɔ.pɐ
tapioca	ta.pi.ˈɔ.kɐ
China	ˈʃi.nɐ
sina	ˈsi.nɐ
cheio	ˈʃej.ʊ
seio	ˈsej.ʊ
quem	ˈkẽj
vem	ˈvẽj
alguém	aw.ˈɡẽj
um	ˈũ
dois	ˈdojs
ficar	fi.ˈkaɾ
picar	pi.ˈkaɾ
venha	ˈvẽ.j̃ɐ
vênia	ˈve.ni.ɐ
cidade	si.ˈda.dʒɪ
cidade (d)	si.ˈda.də
pacato	pa.ˈka.tʊ
batata	ba.ˈta.tɐ
mamata	ma.ˈma.tɐ
talento	ta.ˈlẽ.tʊ
daquilo	da.ˈki.lʊ
naquilo	na.ˈki.lʊ
carroça	ka.ˈhɔ.sɐ
gamela	ɡa.ˈmɛ.lɐ